"","item","cond","line","word","start","end","length","OVP","string"
"185",1,3,7,4,18,22,5,20,"using"
"186",1,3,7,5,24,28,5,26,"these"
"187",1,3,7,6,30,31,2,30,"to"
"188",1,3,7,7,33,35,3,34,"aid"
"189",1,3,7,8,37,43,7,40,"trained"
"190",1,3,7,9,45,51,7,48,"lawyers"
"191",1,3,7,10,53,54,2,53,"in"
"192",1,3,7,11,56,61,6,58,"court."
"193",1,3,7,12,63,65,3,64,"Not"
"194",1,3,8,1,1,4,4,2,"only"
"195",1,3,8,2,6,8,3,7,"did"
"196",1,3,8,3,10,12,3,11,"the"
"197",1,3,8,4,14,18,5,16,"young"
"198",1,3,8,5,20,28,9,24,"barrister"
"199",1,3,8,6,30,32,3,31,"win"
"200",1,3,8,7,34,36,3,35,"the"
"201",1,3,8,8,38,42,5,40,"case,"
"202",1,3,8,9,44,46,3,45,"his"
"203",1,3,8,10,48,52,5,50,"cross"
"204",1,3,8,11,54,64,11,59,"examination"
"205",1,3,8,12,66,67,2,66,"of"
"206",1,3,8,13,69,71,3,70,"the"
"207",1,3,9,1,1,11,11,6,"mis-selling"
"208",1,3,9,2,13,14,2,13,"of"
"209",1,3,9,3,16,19,4,17,"NLPA"
"210",1,3,9,4,21,29,9,25,"insurance"
"211",1,3,9,5,31,33,3,32,"was"
"212",1,3,9,6,35,43,9,39,"commended"
"213",1,3,9,7,45,46,2,45,"by"
"214",1,3,9,8,48,50,3,49,"his"
"215",1,3,9,9,52,61,10,56,"superiors."
"216",1,3,9,10,63,67,5,65,"While"
"217",1,3,10,1,1,2,2,1,"he"
"218",1,3,10,2,4,6,3,5,"did"
"219",1,3,10,3,8,10,3,9,"not"
"220",1,3,10,4,12,21,10,16,"originally"
"221",1,3,10,5,23,28,6,25,"intend"
"222",1,3,10,6,30,31,2,30,"to"
"223",1,3,10,7,33,36,4,34,"ever"
"224",1,3,10,8,38,41,4,39,"work"
"225",1,3,10,9,43,44,2,43,"on"
"226",1,3,10,10,46,47,2,46,"an"
"227",1,3,10,11,49,52,4,50,"NLPA"
"228",1,3,10,12,54,58,5,56,"case,"
"229",1,3,10,13,60,61,2,60,"he"
"230",1,3,10,14,63,65,3,64,"was"
"231",1,3,11,1,1,8,8,4,"thankful"
"232",1,3,11,2,10,11,2,10,"he"
"233",1,3,11,3,13,15,3,14,"was"
"234",1,3,11,4,17,21,5,19,"given"
"235",1,3,11,5,23,26,4,24,"this"
"236",1,3,11,6,28,39,12,33,"opportunity."
"237",2,1,1,1,1,3,3,2,"The"
"238",2,1,1,2,5,8,4,6,"bake"
"239",2,1,1,3,10,13,4,11,"sale"
"240",2,1,1,4,15,16,2,15,"at"
"241",2,1,1,5,18,20,3,19,"the"
"242",2,1,1,6,22,26,5,24,"local"
"243",2,1,1,7,28,33,6,30,"school"
"244",2,1,1,8,35,40,6,37,"raised"
"245",2,1,1,9,42,42,1,42,"a"
"246",2,1,1,10,44,49,6,46,"record"
