"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"12335","sub05",53,48,678.3,268.7,674,710,246,338,28,101,42,20,8,3,2,"as",2,0,0.33,1,"under-sweep",1313.1,328.7,113068,6.345177693,12.6825,28.5525,1
"12352","sub05",53,48,232.6,378.1,230,309,338,418,45,153,56,34,2,4,2,"all.",3,0.891891892,0.33,1,"accurate",1239,883.5,263255,6.71221242,1.54,26.7,0
"12376","sub05",4,49,271.6,155.8,266,327,154,246,17,108,21,21,2,2,1,"from",4,0,0.33,1,"under-sweep",1247,200,103992,6.308838249,2.515,26.9,1
"12403","sub05",4,49,280.5,285.2,253,303,246,340,44,89,38,5,2,3,2,"way",3,0.333333333,0.33,1,"under-sweep",1283.9,207.1,72661,6.15314149,2.7375,27.8225,1
"12417","sub05",4,49,292.1,392.9,172,309,340,418,58,111,58,25,1,4,2,"course.",6,0.023809524,0.33,1,"under-sweep",1324.4,204.9,24848,5.687143058,3.0275,28.835,1
"12439","sub05",44,50,259.3,161.1,172,326,154,246,18,127,21,21,1,2,1,"conception",10,0,0.33,1,"under-sweep",1321.8,214.8,106,3.32121792,2.2075,28.77,1
"12455","sub05",44,50,425.3,290.7,396,433,246,330,34,117,38,38,3,3,1,"as",2,0,0.33,1,"under-sweep",1275.9,228.9,113068,6.345177693,6.3575,27.6225,1
"12491","sub05",37,51,239.3,156.4,172,242,152,246,18,200,20,6,1,2,3,"and",3,0.564102564,0.33,1,"under-sweep",1284.1,196.3,682780,7.126115569,1.7075,27.8275,1
"12527","sub05",28,52,706.5,199.7,696,733,153,246,20,98,22,4,7,2,2,"it",2,0.184210526,0.33,1,"under-sweep",1270.7,255.2,963712,7.27578186,13.3875,27.4925,1
"12545","sub05",28,52,396.4,303.4,362,434,246,330,38,103,35,17,3,3,2,"third",5,0.052631579,0.33,1,"under-sweep",1277.7,223.1,3801,4.871846255,5.635,27.6675,1
"12548","sub05",28,52,345.9,339.9,NA,NA,NA,NA,41,118,NA,NA,NA,4,NA,".",NA,NA,0.33,1,"accurate",394.3,496.4,NA,NA,4.3725,5.5825,0
