"","item","line","word","start","end","length","OVP","string"
"1370",72,2,10,56,65,10,60,"background"
"1371",72,2,11,67,73,7,70,"chatter"
"1372",72,2,12,75,76,2,75,"of"
"1373",72,2,13,78,80,3,79,"the"
"1374",72,2,14,82,87,6,84,"party."
"1375",73,1,1,1,4,4,2,"Most"
"1376",73,1,2,6,7,2,6,"of"
"1377",73,1,3,9,11,3,10,"the"
"1378",73,1,4,13,21,9,17,"important"
"1379",73,1,5,23,26,4,24,"life"
"1380",73,1,6,28,36,9,32,"decisions"
"1381",73,1,7,38,41,4,39,"that"
"1382",73,1,8,43,46,4,44,"Mary"
"1383",73,1,9,48,51,4,49,"made"
"1384",73,1,10,53,55,3,54,"for"
"1385",73,2,1,1,3,3,2,"her"
"1386",73,2,2,5,10,6,7,"family"
"1387",73,2,3,12,15,4,13,"were"
"1388",73,2,4,17,21,5,19,"based"
"1389",73,2,5,23,24,2,23,"on"
"1390",73,2,6,26,26,1,26,"a"
"1391",73,2,7,28,31,4,29,"deep"
"1392",73,2,8,33,45,13,39,"understanding"
"1393",73,2,9,47,48,2,47,"of"
"1394",73,2,10,50,52,3,51,"her"
"1395",73,2,11,54,62,9,58,"ancestry."
"1396",74,1,1,1,3,3,2,"The"
"1397",74,1,2,5,9,5,7,"funny"
"1398",74,1,3,11,15,5,13,"clown"
"1399",74,1,4,17,22,6,19,"slowly"
"1400",74,1,5,24,27,4,25,"left"
"1401",74,1,6,29,31,3,30,"the"
"1402",74,1,7,33,37,5,35,"stage"
"1403",74,1,8,39,43,5,41,"after"
"1404",74,1,9,45,53,9,49,"receiving"
"1405",74,2,1,1,1,1,1,"a"
"1406",74,2,2,3,5,3,4,"big"
"1407",74,2,3,7,11,5,9,"round"
"1408",74,2,4,13,14,2,13,"of"
"1409",74,2,5,16,23,8,19,"applause"
"1410",74,2,6,25,27,3,26,"for"
"1411",74,2,7,29,31,3,30,"his"
"1412",74,2,8,33,41,9,37,"excellent"
"1413",74,2,9,43,54,12,48,"performance."
"1414",75,1,1,1,3,3,2,"The"
"1415",75,1,2,5,7,3,6,"men"
"1416",75,1,3,9,11,3,10,"and"
"1417",75,1,4,13,17,5,15,"women"
"1418",75,1,5,19,25,7,22,"planned"
"1419",75,1,6,27,30,4,28,"many"
"1420",75,1,7,32,34,3,33,"new"
"1421",75,1,8,36,40,5,38,"trips"
"1422",75,1,9,42,44,3,43,"and"
"1423",75,1,10,46,55,10,50,"adventures"
"1424",75,2,1,1,6,6,3,"during"
"1425",75,2,2,8,10,3,9,"the"
"1426",75,2,3,12,15,4,13,"long"
"1427",75,2,4,17,22,6,19,"winter"
"1428",75,2,5,24,29,6,26,"months"
"1429",75,2,6,31,34,4,32,"when"
"1430",75,2,7,36,39,4,37,"they"
"1431",75,2,8,41,43,3,42,"had"
"1432",75,2,9,45,46,2,45,"to"
"1433",75,2,10,48,52,5,50,"focus"
"1434",75,2,11,54,55,2,54,"on"
"1435",75,2,12,57,61,5,59,"their"
"1436",75,2,13,63,67,5,65,"work."
"1437",76,1,1,1,3,3,2,"The"
"1438",76,1,2,5,12,8,8,"detailed"
"1439",76,1,3,14,24,11,19,"information"
"1440",76,1,4,26,29,4,27,"they"
"1441",76,1,5,31,33,3,32,"had"
"1442",76,1,6,35,39,5,37,"about"
"1443",76,1,7,41,50,10,45,"everyone?s"
"1444",76,1,8,52,55,4,53,"life"
"1445",76,2,1,1,2,2,1,"on"
"1446",76,2,2,4,6,3,5,"the"
"1447",76,2,3,8,11,4,9,"ship"
"1448",76,2,4,13,15,3,14,"was"
"1449",76,2,5,17,21,5,19,"quite"
"1450",76,2,6,23,36,14,29,"extraordinary."
"1451",77,1,1,1,4,4,2,"Mrs."
"1452",77,1,2,6,12,7,9,"Bennett"
"1453",77,1,3,14,22,9,18,"tactfully"
"1454",77,1,4,24,30,7,27,"excused"
"1455",77,1,5,32,38,7,35,"herself"
"1456",77,1,6,40,43,4,41,"from"
"1457",77,1,7,45,47,3,46,"the"
"1458",77,1,8,49,53,5,51,"event"
"1459",77,2,1,1,7,7,4,"because"
"1460",77,2,2,9,11,3,10,"she"
"1461",77,2,3,13,18,6,15,"needed"
"1462",77,2,4,20,21,2,20,"to"
"1463",77,2,5,23,28,6,25,"attend"
"1464",77,2,6,30,31,2,30,"an"
"1465",77,2,7,33,38,6,35,"urgent"
"1466",77,2,8,40,47,8,43,"meeting."
"1467",78,1,1,1,3,3,2,"The"
"1468",78,1,2,5,8,4,6,"tall"
"1469",78,1,3,10,12,3,11,"and"
"1470",78,1,4,14,21,8,17,"athletic"
"1471",78,1,5,23,31,9,27,"detective"
"1472",78,1,6,33,35,3,34,"had"
"1473",78,1,7,37,40,4,38,"been"
"1474",78,1,8,42,48,7,45,"invited"
"1475",78,1,9,50,53,4,51,"from"
"1476",78,2,1,1,6,6,3,"France"
"1477",78,2,2,8,9,2,8,"in"
"1478",78,2,3,11,15,5,13,"order"
"1479",78,2,4,17,18,2,17,"to"
"1480",78,2,5,20,23,4,21,"help"
"1481",78,2,6,25,27,3,26,"out"
"1482",78,2,7,29,32,4,30,"with"
"1483",78,2,8,34,36,3,35,"the"
"1484",78,2,9,38,50,13,44,"international"
"1485",78,2,10,52,65,14,58,"investigation."
"1486",79,1,1,1,3,3,2,"The"
"1487",79,1,2,5,20,16,12,"much-anticipated"
"1488",79,1,3,22,23,2,22,"TV"
"1489",79,1,4,25,30,6,27,"series"
"1490",79,1,5,32,35,4,33,"will"
"1491",79,1,6,37,42,6,39,"follow"
"1492",79,1,7,44,46,3,45,"the"
"1493",79,1,8,48,51,4,49,"life"
"1494",79,1,9,53,54,2,53,"of"
"1495",79,2,1,1,3,3,2,"the"
"1496",79,2,2,5,9,5,7,"royal"
"1497",79,2,3,11,16,6,13,"family"
"1498",79,2,4,18,23,6,20,"during"
"1499",79,2,5,25,27,3,26,"the"
"1500",79,2,6,29,34,6,31,"Middle"
"1501",79,2,7,36,40,5,38,"Ages."
"1502",80,1,1,1,3,3,2,"The"
"1503",80,1,2,5,9,5,7,"steel"
"1504",80,1,3,11,14,4,12,"door"
"1505",80,1,4,16,21,6,18,"opened"
"1506",80,1,5,23,28,6,25,"slowly"
"1507",80,1,6,30,32,3,31,"and"
"1508",80,1,7,34,36,3,35,"the"
"1509",80,1,8,38,42,5,40,"guard"
"1510",80,1,9,44,46,3,45,"let"
"1511",80,1,10,48,50,3,49,"the"
"1512",80,1,11,52,54,3,53,"men"
"1513",80,2,1,1,6,6,3,"inside"
"1514",80,2,2,8,10,3,9,"the"
"1515",80,2,3,12,21,10,16,"restricted"
"1516",80,2,4,23,29,7,26,"section"
"1517",80,2,5,31,32,2,31,"of"
"1518",80,2,6,34,36,3,35,"the"
"1519",80,2,7,38,47,10,42,"government"
"1520",80,2,8,49,57,9,53,"building."
"1521",81,1,1,1,3,3,2,"The"
"1522",81,1,2,5,15,11,10,"adventurous"
"1523",81,1,3,17,21,5,19,"woman"
"1524",81,1,4,23,26,4,24,"felt"
"1525",81,1,5,28,31,4,29,"very"
"1526",81,1,6,33,36,4,34,"weak"
"1527",81,1,7,38,42,5,40,"after"
